595,25,Gallente Police Ship,The standard police vessel of the Gallente Federation. Renowned for its high quality equipment and loadout.,66,38,2040000,20400,200,1,8,0,0,0,0.07,0,0,16672674,67794,79896
600,25,Minmatar Peacekeeper Ship,Minmatar Police 1,307,62,1200000,12000,80,1,2,0,0,0,0.07,0,0,16672673,67795,79897
604,25,Caldari Enforcer Ship,Caldari Frigate 8,315,44,1680000,17400,90,1,1,0,0,0,0.07,0,0,16672672,67796,79898
610,25,Wraith,"Little is known about Jovian vessels, safe for their technical superiority.",332,60,1000000,13000,110,1,16,0,0,0,0.07,0,0,16672671,67797,79899
611,25,Specter,"Little is known about Jovian vessels, safe for their technical superiority.",333,38,1000000,13400,80,1,16,0,0,0,0.07,0,0,16672670,67798,79900
612,25,Chaos,Pirate Frigate 1,338,50,1200000,16450,130,1,2,0,0,0,0.07,0,0,16672669,67799,79901
613,25,Devourer,Pirate Frigate 2,339,43.6,1200000,19100,110,1,2,0,0,0,0.07,0,0,16672668,67800,79902
614,25,Fury,Pirate Frigate 3,340,29.96,1200000,26000,180,1,2,0,0,0,0.07,0,0,16672667,67801,79903
615,25,Styx,Pirate Frigate 4,341,36,1200000,17400,60,1,2,0,0,0,0.07,0,0,16672666,67802,79904
616,25,Medusa,Pirate Frigate 5,342,66.78,1200000,17500,30,1,2,0,0,0,0.07,0,0,16672665,67803,79905
617,25,Echo,"The Echo assault frigate was developed and produced by the Indocon Corporation early on in the first era of galactic conquest. Asteroid mining had become increasingly dangerous due to pirate traffic, and the first prototype of the Echo was made.",343,28,1200000,17660,50,1,2,0,0,0,0.07,0,0,16672664,67804,79906
618,25,Lynx,Pirate Frigate 7,344,64,1200000,22500,200,1,2,0,0,0,0.07,0,0,16672663,67805,79907
619,25,Swordspine,Pirate Frigate 8,345,39,1047000,21120,220,1,2,0,0,0,0.07,0,0,16676745,71951,82992
1233,25,Enigma,The mysterious Enigma.,1010,38,1000000,20400,600,1,2,0,0,0,0.07,0,0,16672844,68046,79918
1896,25,Concord Police Frigate,A Concord Patrol Frigate. ,1049,38,1200000,20400,300,1,0,0,0,0,0.07,0,0,16672946,68148,80006
1898,25,Concord SWAT Frigate,A Concord SWAT vessel. .,1054,38,1200000,20400,300,1,0,0,0,0,0.07,0,0,16672947,68149,80007
1900,25,Concord Army Frigate,A Concord millitary vessel. ,1055,38,1200000,20400,300,1,0,0,0,0,0.07,0,0,16672948,68150,80008
1902,25,Concord Special Ops Frigate,A Concord Special Ops Frigate,1053,38,1200000,20400,300,1,0,0,0,0,0.07,0,0,16672949,68151,80009
3532,25,Echelon,"A limited run of these ships was released to capsuleers at the end of YC 112, as a platform to utilize an influx of <url=showinfo:3581>Purloined Sansha Codebreakers</url> that CONCORD had acquired. CONCORD?s hope was that capsuleers could find a way to use the hardware against Sansha forces as they began mounting organized incursions into territories across the cluster.<br><br>The specialized nature of the hardware in Sansha codebreaker technology makes it incompatible with standard data buses, but this ship?s unique hull design has an adaptive synchronization suite that allows it to interface with a wide range of non-standard hardware. CONCORD has remained silent on the origin of this design, but a number of amateur analysts maintain that ships of very similar configuration, carrying SCC and DED transponders, have been observed covertly on multiple prior occasions.",10782,13,1124000,28100,135,1,4,0,1,1395,0.07,0,0,16691372,105432,93949
